"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
"GOBP_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS.X[[i]]","GNE","PPP1R2P1","ZMPSTE24","BCKDK","MAEA","B3GALT5","B3GNT3","BPNT1","FAM3C","NCOA2","SORBS1","B3GNT2","FUT9","ARPP19","PPARGC1A","WDR5","TREH","DUSP12","C1QTNF1","C1QTNF3","MOGAT1","CLK2","COX11","CRY1","SOGA1","SERPINA12","SIK1","ERFE","PPP1R2B","DGKQ","DDB1","AGL","B3GNT6","FCSK","EP300","AKT1","AKT2","ESRRB","EXT1","EXT2","PTK2B","FBP1","FOXK1","AKR1B1","PASK","PPIP5K2","SIRT1","MLYCD","MTOR","G6PC","GAA","GK5","GALK1","GALK2","GANC","TKFC","GBE1","GCG","GCGR","GCK","GCKR","NUPR1","KAT2A","B4GALT1","GK","GK2","INPP5J","GLB1","GNMT","COQ2","ANGPTL3","GNB3","GOT1","GPD2","GPLD1","PGM2L1","PGP","GPER1","GPT","GIT1","GSK3A","GSK3B","GUSB","GYG1","GYS1","GYS2","HAS1","HAS2","HAS3","HK1","HK2","HK3","AOAH","HMGB1","FOXA2","ACACB","HRH1","NDST1","IDH1","IDH2","IDUA","MOGAT3","IGF1","IGF2","IGFBP3","IGFBP4","IL6ST","FOXK2","IMPA1","IMPA2","INPP1"
"GOBP_CELLULAR_CARBOHYDRATE_CATABOLIC_PROCESS.X[[i]]","TREH","AGL","G6PC","GAA","GK5","TKFC","GK","GK2","GPD2","PGM2L1","GSK3A","GUSB","AOAH","HMGB1","INS","IDNK","NEU2","PGAM1","PGD","PGM1","PHKA1","PHKA2","PHKB","PHKG1","PHKG2","PPP1CA","PPP1CB","PPP1R3D","PGM2","ABHD10","ENOSF1","MIOX","TIGAR","GBA3","PYGB","PYGL","PYGM","GUSBP3","SORD","TP53","TPI1","PPP1R3B","CALM1","MGAM","STBD1","SCARB2","RB1CC1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS.X[[i]]","MAEA","FAM3C","PPARGC1A","C1QTNF3","CLK2","CLTC","COX11","CRY1","SOGA1","SERPINA12","SIK1","ERFE","AP2A1","EP300","FBP1","PASK","GCK","GCKR","NUPR1","PGP","GIT1","GSK3A","GSK3B","FOXA2","INS","C1QTNF12","LEPR","MST1","MYOG","PRKN","ENPP1","INPP5K","PFKFB1","PLEK","DDIT4","PPARA","SMPD3","SELENOS","TIGAR","FAM3A","SLC4A1","TGFB1","TP53","SLC25A12","CBFA2T3","ACTN3","MIDN","ADIPOQ","NCOR1","HDAC4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_POSITIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS.X[[i]]","SORBS1","ARPP19","PPARGC1A","WDR5","DDB1","EGF","PRXL2C","AKT1","AKT2","ESRRB","SIRT1","ZBTB20","GAPDHS","GCG","GCK","KAT2A","GPD1","GPLD1","GPER1","GPT","HAS2","HIF1A","HMGB1","HRH1","HTR2A","IFNG","IGF1","IGF2","APP","INS","INSR","IRS1","LHCGR","ARNT","MIR103A1","MIR107","MIR210","MAS1","NFKB1","NTSR1","P2RX7","P2RY1","P2RY6","MLXIPL","PDGFB","CD244","PFKFB1","PFKFB2","PFKFB3","PFKFB4","PHKG2","PMAIP1","PPARA","AVPR1B","PRKAA1","PRKAA2","PRKCE","PSEN1","PPP4R3B","PTAFR","PTH","PTH1R","PTPN2","PPP1R3G","SNCA","SRC","DYRK2","DGAT2","SLC45A3","SLC25A12","IRS2","SLC4A4","KAT2B","ACTN3","PPP1R3E","RGN","ENTPD5","EPM2AIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_GLUCOSE_IMPORT.X[[i]]","OCLN","SORBS1","ARPP19","SLC27A4","CAPN10","OSBPL8","CREBL2","MAPK14","ERFE","AKT1","AKT2","RHOQ","OPN3","APPL1","FGF21","GPC3","TRARG1","GRB10","KLF15","GSK3A","HK2","OSTN","IGF1","INS","INSR","IRS1","SLC27A1","C1QTNF12","LEP","MIR103A1","MIR107","MIR143","MIR223","MEF2A","NFE2L2","PRKAG2","ENPP1","PIK3R1","PLA2G1B","RAB4B","POU4F2","PID1","APPL2","ITLN1","ZDHHC7","SELENOS","PRKCI","PTH","PTPN11","RAP1A","RNASEL","RPS6KB1","RTN2","SORT1","SLC2A1","SLC2A3","SLC2A4","SLC5A1","SLC5A2","STXBP3","HNF1A","TERT","TNF","TSC1","ASPSCR1","ADIPOR2","SLC2A10","CLTCL1","SESN2","IRS2","PEA15","ADIPOQ","SLC25A27","FGF19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_GLUCOSE_IMPORT.X[[i]]","OCLN","SORBS1","ARPP19","CAPN10","OSBPL8","CREBL2","MAPK14","ERFE","AKT1","AKT2","RHOQ","OPN3","APPL1","FGF21","GPC3","GRB10","KLF15","GSK3A","HK2","OSTN","IGF1","INS","INSR","IRS1","C1QTNF12","LEP","MIR103A1","MIR107","MIR143","MIR223","MEF2A","NFE2L2","PRKAG2","ENPP1","PIK3R1","PLA2G1B","POU4F2","PID1","APPL2","ITLN1","SELENOS","PRKCI","PTH","PTPN11","RAP1A","RNASEL","RPS6KB1","RTN2","STXBP3","TERT","TNF","ASPSCR1","ADIPOR2","CLTCL1","IRS2","PEA15","ADIPOQ","SLC25A27","FGF19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_IMPORT.X[[i]]","GRB10","GSK3A","OSTN","LEP","MIR103A1","MIR107","MIR143","ENPP1","PID1","APPL2","SELENOS","STXBP3","TNF","PEA15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_POSITIVE_REGULATION_OF_GLUCOSE_IMPORT.X[[i]]","OCLN","SORBS1","ARPP19","CAPN10","OSBPL8","CREBL2","MAPK14","ERFE","AKT1","AKT2","RHOQ","OPN3","APPL1","FGF21","GPC3","KLF15","IGF1","INS","INSR","IRS1","C1QTNF12","MIR223","MEF2A","NFE2L2","PIK3R1","POU4F2","ITLN1","PRKCI","PTH","PTPN11","RAP1A","RNASEL","TERT","ADIPOR2","CLTCL1","IRS2","ADIPOQ","FGF19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY.X[[i]]","CDK4","SORBS1","SLC27A4","OSBPL8","SESN3","SERPINA12","ERFE","AHSG","KANK1","SIK2","TNS2","SIRT1","FUT7","MSTN","SNX5","GNAI2","GPR21","FFAR3","GRB10","GRB14","GSK3A","VWA2","IGF2","IL1B","INS","IRS1","ENHO","C1QTNF12","LEP","MIR103A1","MIR107","NCK1","TRIM72","OPA1","PAK1","ZBTB7B","ADIPOR1","MZB1","ENPP1","INPP5K","PIK3R1","PIP4K2A","PID1","PRKAA1","PRKCB","PRKCD","PRKCQ","PRKCZ","BAIAP2L1","PTPN1","PTPN2","NCOA5","PTPN11","PTPRE","RELA","RPS6KB1","NUCKS1","SORL1","SRC","TSC1","TSC2","PIP4K2C","GKAP1","PIP4K2B","OGT","SOCS1","CCND3","SOCS3","NR1H4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_CARBOHYDRATE_PHOSPHORYLATION.X[[i]]","GNE","FCSK","GALK1","GALK2","TKFC","GCK","HK1","HK2","HK3","ITPK1","KHK","PFKFB1","PFKFB2","PFKFB3","PFKFB4","FGGY","NAGK","RBKS","IPPK","GNPTAB","HKDC1","POMK","GNPTG","XYLB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_PHOSPHORYLATED_CARBOHYDRATE_DEPHOSPHORYLATION.X[[i]]","BPNT1","G6PC","INPP5J","IMPA1","IMPA2","INPP1","INPP5A","INPP5B","OCRL","INPP5K","BPNT2","INPP5E","PTEN","SYNJ1","SYNJ2","MTMR2","MTMR7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY.X[[i]]","CDH3","ZFAND2B","AKT1","PLCB1","GIGYF2","GH1","GHR","GHRH","GHRHR","GHSR","IGF1","IGF1R","IGF2R","IGFBP1","IGFBP2","IGFBP3","IGFBP4","IGFBP5","IGFBP6","IRS1","AR","MIR1-1","MIR29C","NKX3-1","TRIM72","CRIM1","PIK3R1","PHIP","MYORG","BMP2","BMP5","TSC2","WNT1","CILP","EIF2AK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS.X[[i]]","RPIA","SHPK","G6PC","G6PD","PGLS","GCK","GPI","HK1","HK2","HK3","DERA","PGAM1","PGD","PGM2","TIGAR","G6PC2","RPE","RBKS","TALDO1","TKT","TP53","RPEL1","HKDC1","G6PC3","H6PD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS.X[[i]]","SORBS1","AKT1","AKT2","ESRRB","PASK","MTOR","GCGR","GCK","GSK3A","GSK3B","HMGB1","IGF1","IGF2","INS","INSR","IRS1","KHK","ENPP1","INPP5K","PHKG2","POMC","PPP1CA","PPP1CB","PPP1R3A","PPP1R3C","PPP1R3D","SELENOS","PTH","PPP1R3G","PHLDA2","PPP1R3B","RUBCNL","DYRK2","IRS2","PPP1R3F","PPP1R3E","EPM2AIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS.X[[i]]","SORBS1","AKT1","AKT2","ESRRB","GCK","HMGB1","IGF1","IGF2","INS","INSR","IRS1","PHKG2","PTH","PPP1R3G","DYRK2","IRS2","PPP1R3E","EPM2AIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS.X[[i]]","ZBED6","CALCRL","RACK1","UNC13B","CFTR","GJB6","PPARGC1A","ADCY5","ADCY8","CMA1","SLC9B2","CPB2","CRH","ADRA2A","CYP7A1","AGER","EFNA5","ENDOG","SLC29A1","EPHA5","ERN1","RFX6","FKBP1B","RAB11FIP2","SLC39A14","STXBP4","MPC2","SIN3A","RAB11FIP5","ZBTB20","GAS6","GATA4","FGF21","GCG","GHRHR","GCLM","GPLD1","GPR27","GPER1","GRIK5","PHPT1","HIF1A","HLA-DRB1","FOXA2","ICAM1","IGF1R","PDX1","KCNB1","KCNJ11","KIF5B","C1QTNF12","LEP","LGALS1","LRP1","LRP5","MIRLET7G","MIR146A","MIR15A","MIR16-1","PIM3","NEUROD1","NME1","NME2","OPA1","OXCT1","PAX2","PCK1","PCK2","MLXIPL","CDK16","PDK3","SELENOT","GHRL","SERPINF1","PIK3CA","POLG","PPARD","TRPM4","PIH1D1","CCDC186","ANO1","PPP3CA","PPP3CB","CAMK2N1","PRKAA1","PRKAA2","PRKACA","PRKCB","PRKCE","MAPK13","MAP2K6","TWNK","ENY2","BAD","CLTRN","WDR35","PTPRN","PTPRN2","RAC1","RAF1","MAP2K4","TRA2B","CLEC7A","SLC26A6","SLC2A5","NADK","SMARCA4","SMARCB1","AACS","SOX4","SRI"
"GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS.X[[i]]","SORBS1","SLC27A4","OSBPL8","SERPINA12","ERFE","AHSG","KANK1","TNS2","SIRT1","MSTN","SNX5","GNAI2","GPLD1","GPR21","GRB10","GRB14","GSK3A","IGF2","IL1B","INS","IRS1","ENHO","C1QTNF12","LEP","LPL","MIR103A1","MIR107","MYO1C","NCK1","ATP2B1","TRIM72","OPA1","PAK1","ZBTB7B","ADIPOR1","ENPP1","INPP5K","PIP4K2A","PID1","APPL2","PRKAA1","PRKCB","PRKCD","PRKCQ","PRKCZ","PTPN1","PTPN2","NCOA5","PTPN11","PTPRE","RELA","RPS6KB1","BGLAP","NUCKS1","SORL1","SRC","TSC1","TSC2","ECHDC3","PIP4K2C","GKAP1","PIP4K2B","USO1","SOCS1","SOCS3","NR1H4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS.X[[i]]","SLC27A4","AHSG","KANK1","TNS2","MSTN","GPR21","GRB10","GRB14","GSK3A","IL1B","IRS1","ENHO","LPL","MIR103A1","MIR107","NCK1","TRIM72","ENPP1","INPP5K","PIP4K2A","PID1","APPL2","PRKAA1","PRKCB","PRKCD","PRKCQ","PRKCZ","PTPN1","PTPN2","NCOA5","PTPRE","RELA","RPS6KB1","TSC1","TSC2","PIP4K2C","PIP4K2B","SOCS1","SOCS3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS.X[[i]]","SORBS1","OSBPL8","SERPINA12","ERFE","SIRT1","SNX5","GNAI2","IGF2","INS","IRS1","C1QTNF12","LEP","MYO1C","OPA1","PAK1","ZBTB7B","ADIPOR1","PRKCZ","PTPN11","NUCKS1","SORL1","SRC","ECHDC3","GKAP1","NR1H4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS.X[[i]]","ADA","MIR675","ACOT8","GNPDA1","POM121C","MIR298","OST4","GNE","PIGK","B3GNT10","AL353753.1","ABCC5","MUC12","GPC6","UST","PYURF","AASS","CHST4","SLC25A13","ALG3","NME6","TRIM13","GLYAT","RAMP1","MARCHF6","B3GALT5","TNIP1","AKR1A1","RXYLT1","B3GNT3","ABCA7","BPNT1","PEMT","ST3GAL6","ATP5PD","ARFGEF1","POMT1","DNPH1","PAICS","ST6GALNAC2","ATP5MG","PMVK","CSPG5","B3GNT2","FUT9","ADCY1","MTCO2P12","OGA","NUP50","ADCY2","NEU3","PDE10A","HPSE","SLC26A1","PPARGC1A","LYVE1","ADCY3","MAN1A2","APOBEC2","OS9","ACOT2","HTD2","B4GAT1","SLC35D2","CNMD","KERA","AKR1C4","ADAMTS13","NUP42","ADCY5","CHI3L1","NUDT4","NUDT5","NUDT3","CHI3L2","CHIT1","SLC2A6","ADCY6","GALNT6","GALNT5","RNF139","MAN1B1","CHP1","TREX1","MGAT4B","B4GALT7","ADCY7","PARK7","CHST14","MGAT4A","TMEM106A","ACOT7","ADCY8","PGLYRP2","PGLYRP3","GALNT13","ADCY9","FBXO17","NUS1","ACSM1","THEM4","GALNT15","MUCL1","LARGE2","LRRK2","CLTC","ADSS1","ACOT4","SLC51B","CCR7","ACSM2A"
"GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS.X[[i]]","ADA","GNPDA1","AL353753.1","GPC6","CSPG5","OGA","NEU3","PDE10A","HPSE","LYVE1","APOBEC2","KERA","CHI3L1","NUDT4","NUDT3","CHI3L2","CHIT1","MAN1B1","CHP1","ACOT7","PGLYRP2","PGLYRP3","FBXO17","FBXO27","FITM2","LYG1","NEU4","NUDT16","GNPDA2","HGSNAT","APOBEC3D","VCAN","NCAN","CSPG4","CST3","CTBS","CTSL","UPP2","ADAL","DCN","APOBEC3H","NUDT10","ACAN","DPYD","DPYS","DUT","TYMP","AHCY","CELA1","APOBEC3A","APOBEC3F","STT3B","ABCD1","GPC2","GPC4","FGF2","GPC5","ENPP4","GPD1L","FMOD","MLYCD","HYAL4","SMUG1","CEMIP2","FUCA1","FUCA2","NEIL2","LYG2","GALC","GALNS","GALT","SAMHD1","FBXO2","FBXO6","GBA","PDE7B","CHIA","GLA","GPC3","AMPD3","GLB1","APOBEC3C","GM2A","GNS","GPC1","GPD1","NUDT7","GSK3A","GUSB","HEXA","HEXB","NT5C","HINT1","AOAH","HMMR","HPRT1","HSPG2","HYAL1","APOBEC1","IDS","IDUA","NCCRP1","ITPA","AGRN","ACAT1","LUM","MIR181B1","ARSB","MAN1A1","MANBA","MGAT1"
"GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS.X[[i]]","ADA","MIR675","ACOT8","GNPDA1","MIR298","OST4","GNE","PIGK","B3GNT10","AL353753.1","ABCC5","MUC12","GPC6","UST","PYURF","CHST4","SLC25A13","ALG3","NME6","RAMP1","B3GALT5","TNIP1","AKR1A1","RXYLT1","B3GNT3","ABCA7","ST3GAL6","ATP5PD","ARFGEF1","POMT1","PAICS","ST6GALNAC2","ATP5MG","CSPG5","B3GNT2","FUT9","ADCY1","MTCO2P12","OGA","ADCY2","SLC26A1","PPARGC1A","ADCY3","MAN1A2","HTD2","B4GAT1","SLC35D2","KERA","ADCY5","ADCY6","GALNT6","GALNT5","MAN1B1","CHP1","TREX1","MGAT4B","B4GALT7","ADCY7","CHST14","MGAT4A","TMEM106A","ACOT7","ADCY8","GALNT13","ADCY9","NUS1","GALNT15","MUCL1","LARGE2","CLTC","ADSS1","SLC51B","CCR7","CANT1","B4GALNT2","B3GALT6","A3GALT2","PIGU","TYW5","CMPK2","ADK","GNPDA2","ATPSCKMT","B3GAT2","UPRT","MUC17","GCNT7","NANP","PARP1","MUC15","POGLUT3","ALG10B","B3GLCT","VCAN","NCAN","CSPG4","MGAT5B","DPY19L3","B3GALNT2","CTNNB1","CTPS1","UPP2","XXYLT1","MGAT4D","ADSL","ADSS2","AP2A1","DAD1","TMTC2","TMTC3","ADAL"
"GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT.X[[i]]","ADA","SLC35B1","ABCC4","SLC25A17","AGR2","SLC35A1","NPC2","SLC17A3","RALBP1","SLC35D2","SLC35A4","SLC25A25","CALHM3","CLN3","SLC15A4","ADORA1","CR1","NLRP6","SLC29A1","ABCD1","SLC37A2","SLC29A4","SLC35D1","SLC35A3","ALOX12B","G6PC","SLC37A4","CALHM1","GJA1","SLC25A41","SLC25A42","SLC25A4","SLC25A5","SLC25A6","SLC25A24","SLC29A2","SLC35D3","SLC35B2","ABCC6","LBP","P2RY2","SLC35B3","SLC35C2","GLTP","SLC15A3","PLTP","SLC37A1","SLC35A5","SLC29A3","SLC35C1","SLC35E3","PRKCE","SLC50A1","PSAP","SLC25A19","RSC1A1","SLC17A9","SLC28A3","SLC5A1","SLC5A2","SLC15A2","SLC19A1","SLC35A2","VLDLR","SLC25A23","SLC25A31","PLA2G10","SLC10A7","PLEKHA8","MFSD2A","SLC35B4","VAMP8","ABCC3","SLC28A2","SLC28A1","RFT1","SLC33A1","G6PC3","ATG5","SCARB1","CD47","ABCG1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOBP_REGULATION_OF_GLYCOGEN_STARCH_SYNTHASE_ACTIVITY.X[[i]]","GSK3A","GSK3B","IGF2","INPP5K","PPP1R3G","PPP1R3F","ADIPOQ","EPM2AIP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOCC_INSULIN_RESPONSIVE_COMPARTMENT.X[[i]]","RAB10","RAB12","RAB15","LRP1","MYO5A","RAB4B","DENND4C","RAB4A","RAB13","SLC2A4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOCC_GLYCOGEN_GRANULE.X[[i]]","FASN","PCYT1A","PPP1CA","PPP1CB","PPP1R3D","PPP1R3B","PPP1R3E","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOMF_INSULIN_RECEPTOR_BINDING.X[[i]]","SORBS1","GRB10","IGF1","IGF1R","IGF2","INS","INSL3","IRS1","ENPP1","PDPK1","PIK3R1","PHIP","CCDC88A","PTPN1","PTPN11","SHC1","SNX1","SNX2","SRC","IRS4","IRS2","SNX4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOMF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_BINDING.X[[i]]","CRK","GNAS","IGF1","IGF2","INS","INSL4","INSR","IRS1","ARRB1","PIK3R1","REN","SHC1","YWHAG","YWHAH","SOCS1","SOCS2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING.X[[i]]","ESM1","CCN2","HTRA4","IGFBPL1","IGF1R","IGF2R","IGFALS","IGFBP1","IGFBP2","IGFBP3","IGFBP4","IGFBP5","IGFBP6","IGFBP7","CCN1","INSR","ITGA6","ITGAV","ITGB3","ITGB4","LRP2","CCN3","CRIM1","HTRA1","KAZALD1","CCN6","CCN5","CCN4","HTRA3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOMF_CARBOHYDRATE_KINASE_ACTIVITY.X[[i]]","GNE","GALK1","GALK2","GCK","HK1","HK2","HK3","KHK","PFKFB1","PFKFB2","PFKFB3","PFKFB4","PFKL","PFKM","PFKP","FGGY","NAGK","RBKS","HKDC1","POMK","XYLB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOMF_CARBOHYDRATE_BINDING.X[[i]]","SIGLEC14","KLRF2","KLRC4-KLRK1","CLEC3A","PRG4","KLRG1","CLEC4M","PRG3","CLEC10A","P3H3","COLEC10","OS9","LMAN2","CHI3L1","CHI3L2","GALNT6","GALNT5","EGLN2","EGLN3","SIGLEC11","PKD1L2","GALNT13","GALNT15","CLC","CLN5","ZG16B","CALR3","CNTN1","REG3G","GALM","CRYBG3","CHODL","ITLN2","LAYN","VCAN","NCAN","LGALS16","CLEC2L","FREM1","CLEC12A","CLECL1","CLEC14A","DBH","CLEC4F","CLEC4C","ACAN","AGL","CRYBG1","ENG","FBP1","FCER2","ALKBH3","FCN1","FCN2","ALDOA","ADGRL1","ALDOB","KLRK1","CD93","PLA2R1","RPIA","GANAB","ADGRL2","ADGRL3","MAN2B2","NOMO1","CLEC5A","G6PD","GAA","GALK1","GALNT1","GALNT2","GALNT3","GANC","ATRNL1","FBXO2","CLEC4E","FBXO6","GALNT8","GBE1","GCK","GCKR","SIGLEC7","SIGLEC9","SIGLEC8","GPI","FUOM","P4HA3","CLEC9A","NOMO2","CLEC18C","LGALS9B","LGALSL","CLEC2D","LGALS13","GUSB","GYS1","SLC2A8","CD209","HK1","HK2","HK3","HLA-DRA","HLA-DRB1","APCS","CLEC4D","CLEC4G","DCDC1","PKD1L3","KLRG2","CLEC18A"
"GOMF_INSULIN_RECEPTOR_SUBSTRATE_BINDING.X[[i]]","GRB2","IGF1R","INSR","INSRR","JAK2","PIK3CA","PIK3R1","PRKCD","PRKCZ","PTPN11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOMF_CARBOHYDRATE_DERIVATIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY.X[[i]]","SLC17A4","SLC35B1","SLC17A2","SLC25A17","SLC35A1","SLC17A3","SLC35D2","SLC35A4","SLC25A25","SLC15A4","SLC29A1","ABCD1","SLC37A2","SLC29A4","SLC35D1","SLC35A3","SLC37A4","SLC17A5","SLC25A41","SLC25A42","SLC25A4","SLC25A5","SLC25A6","SLC25A24","SLC29A2","SLC35D3","SLC35B2","SLC35B3","SLC15A3","SLC37A1","SLC35A5","SLC29A3","SLC35C1","SLC35E3","SLC50A1","SLC17A9","SLC28A3","SLC5A1","SLC5A2","SLC17A1","SLC19A1","SLC22A1","SLC22A2","SLC35A2","SLC25A23","SLC25A31","MFSD2A","SLC35B4","ABCC3","SLC28A2","SLC28A1","SLC33A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
